"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-01-30",,,"0.13",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-01-31",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-01",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-02",,,"0.27",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-03",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-04",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-05",,,"1.12",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-06",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-07",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-08",,,"0.75",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-09",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-10",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-11",,,"0.84",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-13",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-14",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-16",,,"0.29",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-17",,,"0.02",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-18",,,"0.67",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-19",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-20",,,"0.05",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-21",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-22",,,"0.03",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-23",,,"0.11",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-24",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-25",,,"0.66",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-26",,,"0.09",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-27",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-02-28",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-01",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-02",,,"2.05",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-03",,,"0.81",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-04",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-05",,,"0.02",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-06",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-07",,,"0.12",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-08",,,"1.39",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-09",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-10",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-11",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-12",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-13",,,"0.16",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-14",,,"0.10",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-15",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-16",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-17",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-18",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-19",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-20",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-21",,,"0.04",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-22",,,"1.67",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-23",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-24",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-25",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-26",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-27",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-28",,,"0.01",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-29",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-30",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-03-31",,,"0.06",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-01",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-02",,,"0.32",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-03",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-04",,,"0.28",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-05",,,"0.07",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-06",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-08",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-09",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-10",,,"0.07",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-11",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-12",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-13",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-14",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-15",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-16",,,"1.05",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-18",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-19",,,"0.07",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-20",,,"0.06",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-21",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-22",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-23",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-24",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-25",,,"0.32",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-26",,,"0.06",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-27",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-28",,,"0.33",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-29",,,"0.11",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-04-30",,,"0.07",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-01",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-02",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-03",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-04",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-05",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-06",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-07",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-08",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-09",,,"0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-10",,,"0.03",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-11",,,"0.08",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-12",,,"0.07",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-13",,,"0.20",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-14",,,"0.11",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-17","    2","1.17","0.00",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-18",,,"0.31",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-19",,,"0.12",
"US1NYNS0046","MASSAPEQUA PARK 1.2 N, NY US","2018-05-20",,,"0.97",
